,number,value,datetime_start,datetime_complete,duration,params_image_size,params_lr,state
62,62,0.4666666666666667,2020-11-07 07:13:35.700775,2020-11-07 07:13:47.957055,0 days 00:00:12.256280,"(180, 180)",7.163237796381366e-05,PRUNED
63,63,0.49333333333333335,2020-11-07 07:13:47.958246,2020-11-07 07:14:00.271115,0 days 00:00:12.312869,"(180, 180)",8.724576580554847e-05,PRUNED
64,64,0.7146666666666667,2020-11-07 07:14:00.272072,2020-11-07 07:18:27.648929,0 days 00:04:27.376857,"(180, 180)",9.363703390884379e-05,PRUNED
65,65,0.4146666666666667,2020-11-07 07:18:27.649641,2020-11-07 07:18:39.985788,0 days 00:00:12.336147,"(180, 180)",7.569589947744333e-05,PRUNED
66,66,0.4653333333333333,2020-11-07 07:18:39.986792,2020-11-07 07:18:52.238016,0 days 00:00:12.251224,"(180, 180)",4.488714424938352e-05,PRUNED
67,67,0.48533333333333334,2020-11-07 07:18:52.239011,2020-11-07 07:19:04.539079,0 days 00:00:12.300068,"(180, 180)",5.0284868229181226e-05,PRUNED
68,68,0.4653333333333333,2020-11-07 07:19:04.539079,2020-11-07 07:19:16.844773,0 days 00:00:12.305694,"(180, 180)",6.12055555239434e-05,PRUNED
69,69,0.49333333333333335,2020-11-07 07:19:16.845771,2020-11-07 07:19:29.152903,0 days 00:00:12.307132,"(180, 180)",1.883853499130814e-05,PRUNED
70,70,0.45866666666666667,2020-11-07 07:19:29.152903,2020-11-07 07:19:41.431607,0 days 00:00:12.278704,"(180, 180)",8.010848065576602e-05,PRUNED
71,71,0.4746666666666667,2020-11-07 07:19:41.432604,2020-11-07 07:19:58.431577,0 days 00:00:16.998973,"(224, 224)",9.829455381234809e-05,PRUNED
72,72,0.48533333333333334,2020-11-07 07:19:58.431577,2020-11-07 07:20:15.374858,0 days 00:00:16.943281,"(224, 224)",9.022252156790616e-05,PRUNED
73,73,0.49466666666666664,2020-11-07 07:20:15.375855,2020-11-07 07:20:32.274493,0 days 00:00:16.898638,"(224, 224)",6.544513215301926e-05,PRUNED
74,74,0.46,2020-11-07 07:20:32.275198,2020-11-07 07:20:49.236902,0 days 00:00:16.961704,"(224, 224)",2.60697544919473e-05,PRUNED
75,75,0.496,2020-11-07 07:20:49.237899,2020-11-07 07:21:06.226517,0 days 00:00:16.988618,"(224, 224)",3.732615484107907e-05,PRUNED
76,76,0.7746666666666666,2020-11-07 07:21:06.227515,2020-11-07 07:51:32.419629,0 days 00:30:26.192114,"(180, 180)",7.274165185054673e-05,COMPLETE
77,77,0.5293333333333333,2020-11-07 07:51:32.420881,2020-11-07 07:51:56.861788,0 days 00:00:24.440907,"(180, 180)",7.208053565707752e-05,PRUNED
78,78,0.42533333333333334,2020-11-07 07:51:56.862785,2020-11-07 07:52:09.123061,0 days 00:00:12.260276,"(180, 180)",5.7795967879306776e-05,PRUNED
79,79,0.45866666666666667,2020-11-07 07:52:09.124058,2020-11-07 07:52:21.373708,0 days 00:00:12.249650,"(180, 180)",1.1160726155850999e-05,PRUNED
80,80,0.5466666666666666,2020-11-07 07:52:21.375210,2020-11-07 07:52:57.971921,0 days 00:00:36.596711,"(180, 180)",6.763899888549207e-05,PRUNED
81,81,0.5453333333333333,2020-11-07 07:52:57.971921,2020-11-07 07:53:34.535611,0 days 00:00:36.563690,"(180, 180)",8.452239127188871e-05,PRUNED
82,82,0.5693333333333334,2020-11-07 07:53:34.536517,2020-11-07 07:54:11.085931,0 days 00:00:36.549414,"(180, 180)",9.404718372125887e-05,PRUNED
83,83,0.5253333333333333,2020-11-07 07:54:11.086863,2020-11-07 07:54:44.775234,0 days 00:00:33.688371,"(224, 224)",7.494129985474909e-05,PRUNED
84,84,0.4653333333333333,2020-11-07 07:54:44.776241,2020-11-07 07:54:57.090802,0 days 00:00:12.314561,"(180, 180)",1.644368819354786e-05,PRUNED
85,85,0.4826666666666667,2020-11-07 07:54:57.091385,2020-11-07 07:55:09.366475,0 days 00:00:12.275090,"(180, 180)",8.09834880977064e-05,PRUNED
86,86,0.584,2020-11-07 07:55:09.367935,2020-11-07 07:56:33.432031,0 days 00:01:24.064096,"(224, 224)",3.30842839930783e-05,PRUNED
87,87,0.468,2020-11-07 07:56:33.432937,2020-11-07 07:56:45.746963,0 days 00:00:12.314026,"(180, 180)",1.4957662619106883e-05,PRUNED
88,88,0.4786666666666667,2020-11-07 07:56:45.747766,2020-11-07 07:57:02.680267,0 days 00:00:16.932501,"(224, 224)",4.0468720678093435e-05,PRUNED
89,89,0.492,2020-11-07 07:57:02.680791,2020-11-07 07:57:14.962048,0 days 00:00:12.281257,"(180, 180)",5.411671069357501e-05,PRUNED
90,90,0.4693333333333333,2020-11-07 07:57:14.962831,2020-11-07 07:57:27.286684,0 days 00:00:12.323853,"(180, 180)",2.2984087902802827e-05,PRUNED
91,91,0.37333333333333335,2020-11-07 07:57:27.287618,2020-11-07 07:57:39.583907,0 days 00:00:12.296289,"(180, 180)",1.797610247376173e-05,PRUNED
92,92,0.5213333333333333,2020-11-07 07:57:39.584880,2020-11-07 07:58:04.095126,0 days 00:00:24.510246,"(180, 180)",1.6722790899667284e-05,PRUNED
93,93,0.496,2020-11-07 07:58:04.096081,2020-11-07 07:58:16.413485,0 days 00:00:12.317404,"(180, 180)",2.0150668880654185e-05,PRUNED
94,94,0.45066666666666666,2020-11-07 07:58:16.414483,2020-11-07 07:58:28.710233,0 days 00:00:12.295750,"(180, 180)",1.4018925586589868e-05,PRUNED
95,95,0.8066666666666666,2020-11-07 07:58:28.711230,2020-11-07 08:28:54.263108,0 days 00:30:25.551878,"(180, 180)",8.71825786270089e-05,COMPLETE
96,96,0.5026666666666667,2020-11-07 08:28:54.264002,2020-11-07 08:29:11.184854,0 days 00:00:16.920852,"(224, 224)",9.43647649568331e-05,PRUNED
97,97,0.47733333333333333,2020-11-07 08:29:11.184854,2020-11-07 08:29:23.491104,0 days 00:00:12.306250,"(180, 180)",8.5349239625585e-05,PRUNED
98,98,0.49066666666666664,2020-11-07 08:29:23.492102,2020-11-07 08:29:35.786286,0 days 00:00:12.294184,"(180, 180)",8.840125253414919e-05,PRUNED
99,99,0.49333333333333335,2020-11-07 08:29:35.787256,2020-11-07 08:30:00.171236,0 days 00:00:24.383980,"(180, 180)",7.890050458747763e-05,PRUNED
